received_time, packet_text, rssi
1689321732222393518, 2, -97
1689321732408397059, 2, -96
1689321732440197059, 3, -98
1689321732480725184, 4, -107
1689321732533792320, 3, -98
1689321732583547840, 3, -101
1689321732679539611, 2, -101
1689321732827313986, 3, -100
1689321732999772632, 2, -99
1689321733086677267, 4, -106
1689321733202993726, 3, -100
1689321733513006851, 2, -99
1689321733554353569, 3, -99
1689321733648300965, 4, -108
1689321733887097944, 4, -106
1689321733915332996, 2, -99
1689321734817958204, 2, -96
1689321734978851694, 3, -97
1689321735075256485, 3, -97
1689321735513861329, 2, -98
1689321735618335548, 3, -96
1689321735658020496, 4, -106
1689321736058316016, 4, -109
1689321736299477162, 3, -99
1689321736462548516, 2, -98
1689321736577707995, 3, -97
1689321736961609662, 4, -105
1689321737168244193, 2, -99
1689321737195071641, 4, -108
1689321737289703880, 3, -100
1689321737603337214, 2, -96
1689321737794756797, 4, -108
1689321737894102057, 2, -97
1689321737965640130, 4, -107
1689321738094601224, 2, -99
1689321738186254036, 2, -97
1689321738282054557, 3, -99
1689321738418162942, 3, -96
1689321738780609609, 2, -98
1689321738921298932, 4, -106
1689321739147059088, 4, -106
1689321739297791744, 3, -95
1689321739458090286, 4, -109
1689321739499259140, 2, -96
1689321739590274765, 4, -106
1689321739787369921, 3, -99
1689321739807103515, 2, -99
1689321740035836848, 4, -106
1689321740338731900, 2, -98
1689321740441660858, 3, -98
1689321740763501379, 4, -105
1689321740849877629, 3, -99
1689321741116774712, 4, -110
1689321741199310077, 2, -96
1689321741770662785, 4, -106
1689321741798700754, 3, -96
1689321741996295389, 2, -91
1689321742199141691, 4, -109
1689321742389975962, 2, -98
1689321742416618878, 3, -99
1689321742457524816, 2, -99
1689321742770834139, 4, -107
1689321742804945493, 4, -106
1689321742870096014, 3, -100
1689321742892235232, 2, -100
1689321743296537993, 4, -107
1689321743664719451, 3, -96
1689321743724294295, 2, -96
1689321743789363774, 4, -105
1689321743879697732, 4, -107
1689321744214103409, 2, -99
1689321744292266482, 3, -96
1689321744636498773, 2, -96
1689321744859016846, 4, -107
1689321744905470909, 2, -96
1689321745100861742, 3, -96
1689321745135141690, 2, -96
1689321745176202836, 4, -106
1689321745319386221, 4, -109
1689321745448892367, 3, -96
1689321745603128461, 4, -106
1689321746227792419, 3, -93
1689321746287887054, 4, -106
1689321746845354658, 4, -106
1689321746957887731, 3, -96
1689321747004223564, 2, -96
1689321747083543772, 4, -108
1689321747334407887, 3, -95
1689321747377480804, 2, -100
1689321747925240439, 3, -97
1689321748032680855, 2, -101
1689321748106349137, 4, -105
1689321748172451689, 4, -100
1689321748248058876, 2, -99
1689321748787889032, 4, -104
1689321748905025595, 3, -96
1689321749041912938, 2, -98
1689321749647662521, 4, -104
1689321749749068407, 3, -98
1689321750193098042, 4, -102
1689321750477945907, 4, -104
1689321750654084761, 2, -100
1689321750693903198, 3, -94
1689321750858080750, 4, -105
1689321751401489187, 2, -97
1689321751475413354, 4, -104
1689321751668142989, 3, -99
1689321751693071531, 3, -96
1689321751728782937, 3, -96
1689321752127432468, 2, -99
1689321752210387521, 4, -104
1689321752470635489, 2, -98
1689321752511945177, 4, -104
1689321752685094499, 3, -97
1689321752791040749, 2, -96
1689321752877291479, 3, -96
1689321752906972624, 2, -96
1689321753141071010, 3, -96
1689321753256112572, 4, -104
1689321753415962416, 4, -107
1689321753624770957, 2, -97
1689321753745474030, 3, -99
1689321753844707259, 4, -103
1689321754322339082, 3, -97
1689321754385561582, 4, -104
1689321754441564134, 2, -97
1689321754676777624, 3, -96
1689321754826351530, 4, -104
1689321755025101842, 2, -97
1689321755169993561, 4, -105
1689321755314054811, 3, -96
1689321755464122467, 4, -106
1689321755527298717, 3, -96
1689321755557001478, 4, -104
1689321755643814238, 4, -107
1689321755691454290, 2, -100
1689321755751512467, 4, -104
1689322265844135329, 3, -98
1689322265867871007, 2, -100
1689322266028699965, 4, -107
1689322266095238819, 3, -96
1689322266632360485, 4, -101
1689322267111338714, 3, -98
1689322267248979443, 4, -101
1689322267373399079, 2, -100
1689322267429176891, 4, -101
1689322267755449443, 3, -102
1689322267830434287, 2, -99
1689322268124152568, 4, -104
1689322268371447516, 2, -99
1689322268775565797, 3, -97
1689322268809162828, 4, -105
1689322268881377880, 4, -104
1689322269355000380, 2, -98
1689322269664448245, 2, -98
1689322269786330797, 3, -97
1689322269972805380, 2, -100
1689322270008907672, 3, -100
1689322270509599651, 4, -106
1689322270834498713, 2, -100
1689322270956971838, 3, -96
1689322271082461630, 4, -106
1689322271263342515, 4, -105
1689322271690643713, 3, -98
1689322271779547046, 2, -98
1689322271841669702, 2, -98
1689322272042121369, 2, -98
1689322272150390275, 4, -104
1689322272356994129, 2, -101
1689322272449484962, 3, -96
1689322272614936577, 4, -104
1689322272805699285, 2, -98
1689322273019303712, 3, -96
1689322273284400170, 2, -96
1689322273404776837, 2, -101
1689322273472817097, 4, -104
1689322273608517358, 2, -98
1689322273735267410, 2, -98
1689322273759552410, 4, -104
1689322274066826108, 3, -98
1689322274137652983, 2, -98
1689322274373234128, 2, -100
1689322274402683712, 3, -96
1689322274730694076, 4, -104
1689322275086544545, 3, -96
1689322275128436159, 2, -97
1689322275987516159, 3, -96
1689322276027598034, 2, -98
1689322276278569544, 4, -104
1689322276909597981, 3, -99
1689322277026322304, 2, -98
1689322277212199440, 3, -96
1689322277296508763, 4, -104
1689322277332988033, 3, -100
1689322277362727356, 2, -99
1689322277578833710, 3, -99
1689322277672633606, 3, -98
1689322277807505012, 2, -105
1689322278416091158, 3, -100
1689322278518583918, 4, -105
1689322278596044491, 2, -98
1689322279546745741, 4, -100
1689322279665781210, 2, -101
1689322279751871626, 4, -102
1689322279902890793, 3, -97
1689322280084412199, 3, -98
1689322280393019022, 3, -96
1689322280557360636, 4, -100
1689322280603040532, 2, -103
1689322280658298761, 2, -102
1689322281079418813, 3, -91
1689322281512086157, 4, -104
1689322281966553344, 3, -95
1689322282036829334, 2, -101
1689322282093632927, 4, -98
1689322282705451521, 2, -95
1689322282905239438, 4, -98
1689322282962206625, 2, -100
1689322283119395010, 3, -98
1689322283732221000, 4, -100
1689322283804675166, 2, -102
1689322283842107510, 3, -95
1689322284038251937, 3, -92
1689322284420675166, 4, -99
1689322284503165687, 4, -100
1689322284710629489, 2, -100
1689322284846909749, 3, -100
1689322284964333499, 2, -101
1689322285037435114, 4, -101
1689322285195190478, 4, -100
1689322285303026885, 2, -100
1689322285749582926, 3, -101
1689322285980117666, 4, -96
1689322286135959957, 2, -108
1689322286353949124, 4, -101
1689322286845242509, 3, -97
1689322286889267040, 3, -98
1689322287017992040, 4, -100
1689322287116949332, 2, -100
1689322287428628394, 4, -101
1689322287755180686, 4, -104
1689322287819607509, 3, -99
1689322287863882456, 2, -99
1689322287963312196, 2, -100
1689322288174669279, 3, -97
1689322288257147092, 3, -95
1689322288718003133, 2, -101
1689322288753021779, 4, -102
1689322289227725737, 3, -92
1689322289269794695, 4, -101
1689322289294443393, 2, -100
1689322289621581466, 4, -101
1689322290028362560, 2, -104
1689322290069020268, 3, -95
1689322290207370737, 3, -96
1689322290563179799, 4, -100
1689322290953892820, 4, -100
1689322291029936205, 2, -100
1689322291087287195, 3, -99
1689322291473904903, 2, -100
1689322291594583445, 2, -98
1689322291917151153, 4, -98
1689322292022107247, 3, -97
1689322292126492767, 4, -102
1689322292302746778, 3, -96
1689322292370724382, 3, -96
1689322292482165892, 2, -105
1689322292584189278, 3, -98
1689322292622088184, 3, -99
1689322292697744903, 2, -106
1689322292986809590, 3, -96
1689322293047805163, 4, -102
1689322293333552715, 2, -104
1689322293357829954, 3, -99
1689322293512833079, 2, -105
1689322293600650319, 3, -96
1689322293984538235, 2, -102
1689322294009370371, 4, -97
1689322294124137194, 2, -102
1689322294290147298, 3, -98
1689322297478690369, 3, -98
1689322297684294224, 2, -100
1689322297875202817, 4, -99
1689322297960670578, 3, -95
1689322298192461619, 4, -98
1689322298265394119, 2, -102
1689322298502902244, 2, -101
1689322298752429119, 3, -98
1689322298866785473, 2, -101
1689322299094771325, 2, -102
1689322299172716453, 4, -100
1689322299257043000, 4, -98
1689322299732945171, 2, -103
1689322300072128747, 3, -100
1689322300211281456, 2, -102
1689322300290743828, 4, -99
1689322300422157807, 3, -96
1689322300640734709, 3, -95
1689322300669450620, 4, -101
1689322300843736200, 4, -94
1689322300976152016, 4, -98
1689322301293821293, 2, -102
1689322301373408520, 4, -100
1689322301494637859, 3, -95
1689322301690206460, 3, -97
1689322301736553940, 3, -95
1689322301846546835, 4, -100
1689322301899146582, 2, -102
1689322302477393411, 4, -102
1689322302664889741, 3, -95
1689322302758607869, 2, -105
1689322302785849937, 2, -104
1689322303238578238, 3, -92
1689322303315740568, 4, -102
1689322303680524268, 3, -97
1689322303870261132, 4, -98
1689322303922265582, 4, -98
1689322304061875883, 2, -104
1689322304276253970, 3, -94
1689322304616721307, 2, -105
1689322304673635206, 3, -94
1689322305011574718, 4, -100
1689322305168446330, 3, -97
1689322305265838791, 2, -101
1689322305641575000, 4, -101
1689322305717657400, 4, -101
1689322306029019824, 3, -91
1689322306162407727, 2, -103
1689322306502691440, 4, -98
1689322306554438710, 4, -101
1689322306690253428, 3, -98
1689322307061916940, 3, -91
1689322307234108569, 4, -100
1689322307614072642, 4, -101
1689322307878365011, 3, -94
1689322307942139505, 2, -104
1689322308350948834, 4, -99
1689322308591391538, 3, -94
1689322308693522033, 2, -102
1689322309238084900, 4, -97
1689322309325203659, 2, -105
1689322309602038155, 3, -94
1689322309922987759, 3, -95
1689322310218218303, 4, -98
1689322310250961463, 2, -104
1689322310603171072, 3, -97
1689322310712210362, 3, -94
1689322310965432846, 4, -99
1689322311190371378, 3, -92
1689322311232013285, 4, -94
1689322311297387733, 3, -98
1689322311461831171, 2, -103
1689322311682861001, 3, -98
1689322311827215636, 3, -94
1689322311927994672, 2, -98
1689322312275915217, 4, -100
1689322312476941141, 3, -97
1689322312693912126, 4, -97
1689322312849138258, 2, -103
1689322313000116510, 2, -104
1689322313318013354, 3, -98
1689322313382995273, 2, -103
1689322313496142761, 4, -101
1689322313673121357, 4, -97
1689322313717441704, 2, -105
1689322313799456148, 3, -94
1689322314115746617, 3, -94
1689322314241548607, 2, -103
1689322314475454030, 3, -98
1689322314518761994, 4, -98
1689322314745728846, 2, -101
1689322314996049224, 2, -104
1689322315470469107, 2, -97
1689322315509394352, 4, -97
1689322315888493310, 4, -97
1689322316159162832, 3, -94
1689322316179602012, 2, -99
1689322316502930661, 4, -99
1689322316924256368, 3, -94
1689322317157453321, 2, -99
1689322317300173728, 2, -103
1689322317371195229, 4, -97
1689322317841861789, 3, -92
1689322317957238621, 2, -102
1689322318002263070, 3, -99
1689322318067429317, 3, -94
1689322318133594478, 2, -100
1689322318295430712, 4, -101
1689322318378464196, 3, -98
1689322318988040228, 2, -105
1689322319244700598, 2, -102
1689322319286513212, , -95
1689322319716383984, 3, -99
1689322319769380890, 3, -99
1689322320076921549, 4, -96
1689322320222770346, 2, -100
1689322320360953130, 3, -97
1689322320415655260, 3, -100
1689322321008592400, 4, -103
1689322321069140525, 2, -102
1689322321142650339, 3, -98
1689322321420397278, 4, -96
1689322321951299345, 3, -94
1689322322234229251, 4, -96
1689322322419312481, 2, -107
1689322322515780677, 4, -99
1689322322578467754, 3, -99
1689322323002500764, 4, -101
1689322323419090004, 2, -103
1689322323557773615, 4, -103
1689322323585576046, 3, -95
1689322323782708611, 3, -98
1689322323910684352, 3, -96
1689322324248623863, 3, -99
1689322324382352621, 4, -94
1689322324547120633, 3, -95
1689322324689771195, 2, -103
1689322324817053895, 2, -102
1689322324904079144, 3, -96
1689322324986971429, 4, -100
1689322325352460904, 2, -100
1689322325423146509, 3, -95
1689322325526502912, 4, -102
1689322325558999598, 2, -104
1689322325638651436, 3, -97
1689322325776209330, 3, -97
1689322326028689951, 4, -98
1689322326059068835, 2, -101
1689322326315814062, 3, -98
1689322326578036417, 4, -97
1689322326620281935, 2, -100
1689322326705953858, 2, -100
1689322326988294982, 3, -95
1689322327134368820, 3, -100
1689322327214021891, 3, -96
1689322327265301402, 2, -101
1689322327410949359, 4, -99
1689322327648543701, 3, -95
1689322327910171358, 2, -101
1689322328079796792, 2, -101
1689322328286556358, 3, -97
1689322328389911734, 4, -100
1689322328513131268, 4, -100
1689322328747705697, 2, -104
1689322328863233075, 3, -98
1689322329138246567, 4, -100
1689322329232325757, 2, -101
1689322329313117097, 3, -99
1689322329584392742, 4, -98
1689322329708332358, 2, -101
1689322329765693009, 3, -96
1689322329902786436, 4, -98
1689322330015149756, 4, -102
1689322330582421827, 2, -97
1689322330701742505, 4, -97
1689322330849738168, 2, -102
1689322331166386797, 3, -99
1689322331235501625, 2, -102
1689322331261177907, 4, -100
1689322331427852502, 2, -105
1689322331538204411, 3, -96
1689322332116319093, 2, -101
1689322332140522250, 4, -98
1689322332273181121, 4, -98
1689322332504120800, 3, -99
1689322332837797560, 3, -96
1689322333152866083, 4, -102
1689322333324241399, 2, -101
1689322333495575094, 2, -101
1689322333638092990, 3, -94
1689322333867394536, 4, -101
1689322334104248341, 3, -97
1689322334448304160, `, -95
1689322334823126877, 3, -98
1689322335135597136, 4, -102
1689322335412665925, 2, -99
1689322335768868374, 4, -98
1689322335791946691, 3, -97
1689322335815852319, 4, -98
1689322336014378016, 2, -100
1689322336346977581, 3, -98
1689322336491536582, 4, -98
1689322336685679558, 3, -94
1689322336803051810, 4, -100
1689322336855879049, 4, -98
1689322336915857230, 4, -98
1689322337061446031, 3, -92
1689322337336859526, 2, -100
1689322337518996230, 4, -98
1689322337741746247, 3, -98
1689322337790804984, 4, -99
1689322337997436964, 2, -101
1689322338292670114, 3, -94
1689322338560767191, 2, -105
1689322338672019637, 4, -100
1689322338818848566, 2, -105
1689322339266023483, 3, -98
1689322339333888339, 2, -100
1689322339458992616, 3, -95
1689322339514162477, 4, -98
1689322339899700698, 3, -94
1689322339960822594, 2, -102
1689322340283826224, 3, -97
1689322340334592248, 4, -101
1689322340587896375, 3, -94
1689322340674524167, 3, -94
1689322340723535471, 3, -94
1689322340855056625, 2, -105
1689322340957150348, 4, -100
1689322341066670999, 2, -102
1689322341187140783, 3, -96
1689322341241611996, 3, -98
1689322341502819072, 3, -91
1689322341614531152, 4, -98
1689322341985795974, 2, -102
1689322342094648118, 3, -95
1689322342179802978, 2, -103
1689322342336926088, 4, -98
1689322342535915598, 3, -95
1689322342616149524, 3, -95
1689322342820326606, 2, -107
1689322342863425205, 3, -94
1689322343022331015, 4, -102
1689322343103076649, 3, -94
1689322343165154589, 2, -105
1689322343606031359, 4, -99
1689322343662738563, 4, -99
1689322343685528757, 3, -92
1689322344092125372, 2, -104
1689322344413922586, 3, -97
1689322344496430472, 4, -92
1689322344733958560, 2, -105
1689322344930582839, 3, -97
1689322344958753874, 4, -98
1689322345141225413, 4, -102
1689322345248003821, 2, -105
1689322345306175584, 3, -99
1689322345408175964, 3, -100
1689322345428245702, 2, -102
1689322346038408899, 3, -95
1689322346213617923, 2, -105
1689322346596484951, 4, -99
1689322346785289341, 3, -100
1689322347060889931, 4, -103
1689322347104176796, 2, -103
1689322347546407179, 3, -97
1689322347567342099, 4, -101
1689322347736259165, 2, -103
1689322347950398593, 3, -96
1689322348140847979, 4, -102
1689322348233748046, 2, -103
1689322348935751883, 3, -101
1689322349246540278, 4, -101
1689322349399577492, 3, -99
1689322349616326190, 2, -104
1689322349796302939, 4, -99
1689322349825697830, 4, -99
1689322350109780198, 2, -106
1689322350218892073, 3, -98
1689322350280993591, 4, -99
1689322350647868524, 3, -96
1689322350685427827, 2, -105
1689322350940162069, 4, -99
1689322351004842118, 2, -103
1689322351187548501, 4, -99
1689322351266316046, 2, -106
1689322351425526223, 3, -98
1689322351510929117, 4, -99
1689322351915729553, 4, -99
1689322352018690690, 2, -104
1689322352040156596, 3, -95
1689322352183751204, 5, -96
1689322352440398699, 2, -104
1689322352713652955, 4, -98
1689322352985317079, 4, -102
1689322353017068733, 3, -96
1689322353179497573, 4, -99
1689322353312789591, 2, -104
1689322353636012612, 3, -100
1689322353696196446, 4, -98
1689322354109887958, 4, -99
1689322354252702401, 2, -107
1689322354315206943, 4, -98
1689322354627675954, 3, -97
1689322354763378524, 2, -104
1689322355050833315, 2, -107
1689322355144459321, 3, -97
1689322355325432588, 4, -100
1689322355351073165, 4, -99
1689322355439346765, 4, -99
1689322355780345153, 3, -95
1689322355821726268, 2, -103
1689322356002210973, 2, -103
1689322356062521736, 3, -95
1689322356416640172, 4, -99
1689322356628001432, 3, -95
1689322356937953960, 4, -101
1689322356990638840, 3, -98
1689322357392912994, 2, -105
1689322357452296529, 4, -103
1689322357573789634, 3, -95
1689322357700828511, 3, -95
1689322357791820471, 4, -99
1689322357816982623, 2, -107
1689322358094644053, 3, -95
1689322358137759252, 3, -95
1689322358158726207, 4, -99
1689322358482422033, 2, -103
1689322358776276440, 2, -104
1689322358820342505, 3, -95
1689322358989429854, 4, -103
1689322359035991052, 2, -104
1689322359401466525, 3, -95
1689322359458134977, 4, -101
1689322359549732915, 2, -102
1689322359767156120, 4, -98
1689322360102218474, 3, -95
1689322360160107267, 2, -105
1689322360404533081, 4, -99
1689322360527715313, 2, -107
1689322360656077907, 3, -95
1689322361040496549, 2, -103
1689322361413624433, 4, -102
1689322361615956286, 3, -95
1689322361693293324, 3, -95
1689322361866904173, 2, -104
1689322362341063397, 4, -100
1689322362597984263, 3, -97
1689322362876620341, 4, -103
1689322363036790253, 4, -101
1689322363347535001, 2, -104
1689322363478539418, 3, -96
1689322363652687973, 4, -99
1689322363743568576, 2, -103
1689322364146882071, 2, -100
