received_time, altitude, lat, lon, alt
1689838333509736690, , 460684159, 112274059, 467525
1689838333703206468, 0.9901491403579712, , , 
1689838334931769857, , 460684159, 112274057, 467551
1689838335129423263, 1.0068734884262085, , , 
1689838336367757207, , 460684153, 112274058, 467451
1689838336562543920, 1.0029855966567993, , , 
1689838337803659272, , 460684132, 112274040, 467272
1689838338000463221, 0.9818874001502991, , , 
1689838339231472593, , 460684117, 112274016, 467303
1689838339432476636, 0.983773946762085, , , 
1689838340663991189, , 460684105, 112273995, 467231
1689838340861485531, 0.9402744770050049, , , 
1689838342102128869, , 460684091, 112273971, 467256
1689838342298115641, 0.9441540837287903, , , 
1689838343532470135, , 460684075, 112273952, 467143
1689838343727464927, 0.97887122631073, , , 
1689838344963705272, , 460684050, 112273932, 467012
1689838345170267446, 0.9940261244773865, , , 
1689838346403825590, , 460684028, 112273922, 466965
1689838346590169534, 1.0149221420288086, , , 
1689838347838399483, , 460684023, 112273930, 467019
1689838348033630528, 1.0045369863510132, , , 
1689838349269578553, , 460684026, 112273958, 467342
1689838349457510817, 1.02728271484375, , , 
1689838350697592208, , 460684023, 112273987, 467618
1689838350903484853, 1.0391602516174316, , , 
1689838352133942751, , 460684018, 112274004, 467679
1689838352320910038, 1.0348578691482544, , , 
1689838353562411378, , 460684019, 112274043, 467801
1689838353757273458, 1.0388227701187134, , , 
1689838354991392514, , 460684018, 112274054, 467831
1689838355199852433, 1.0399737358093262, , , 
1689838356431341554, , 460684017, 112274064, 467875
1689838356626369866, 1.0479243993759155, , , 
1689838357867449394, , 460684030, 112274098, 468042
1689838358064671032, 1.0634595155715942, , , 
1689838359293467824, , 460684039, 112274112, 468235
1689838359500470036, 1.0901986360549927, , , 
1689838360732471148, , 460684048, 112274121, 468362
1689838360929695581, 1.0620369911193848, , , 
1689838362169541071, , 460684058, 112274122, 468498
1689838362354740051, 1.0518534183502197, , , 
1689838363598801755, , 460684064, 112274121, 468571
1689838363795310103, 1.066063642501831, , , 
1689838365027988803, , 460684078, 112274129, 468732
1689838365234061071, 1.1294690370559692, , , 
