received_time, altitude, lat, lon, alt
1689841233814177706, -0.5529468655586243, , , 
1689841234384145466, , 460684260, 112274172, 472002
1689841235401812705, -0.5534947514533997, , , 
1689841235981281194, , 460684267, 112274181, 472002
1689841236998764892, -0.602878987789154, , , 
1689841237569730361, , 460684273, 112274186, 472020
1689841238577382704, -0.6334250569343567, , , 
1689841239155298850, , 460684275, 112274200, 471913
1689841240174087807, -0.695326566696167, , , 
1689841240739189057, , 460684280, 112274202, 471934
