time,charge_level
1689174468629197662, 99 
1689174478641741433, 99 
1689174488655208261, 99 
1689174498667777099, 98 
1689174508680041730, 98 
1689174518691035965, 98 
1689174528701127241, 98 
1689174538713653304, 98 
1689174548721038544, 98 
1689174558730988530, 98 
1689174568742572250, 98 
1689174578750973036, 98 
1689174588761210610, 97 
1689174598771489926, 97 
1689174608783611569, 97 
1689174618795683759, 97 
1689174628801054079, 97 
1689174638811051096, 97 
1689174648820979091, 97 
1689174658830990475, 97 
1689174668842974944, 96 
1689174678855141119, 96 
1689174688860988833, 96 
1689174698871041729, 96 
1689174708883178062, 96 
1689174718894556512, 96 
1689174728904647828, 96 
1689174738910994351, 96 
1689174748921010253, 95 
1689174758930970476, 95 
1689174768940945583, 95 
1689174778953058640, 95 
1689174788961068163, 95 
1689174798971041813, 95 
1689174808981091472, 95 
1689174818990990515, 95 
1689174829002003432, 94 
1689174839012612420, 94 
1689174849021040551, 94 
1689174859032234565, 94 
1689174869043845640, 94 
1689174879051122425, 94 
1689174889061206652, 94 
1689174899070996313, 94 
1689174909081034768, 93 
1689174919090998771, 93 
1689174929101034919, 93 
1689174939111315664, 93 
1689174949120958467, 93 
1689174959131044323, 93 
1689174969141333621, 93 
1689174979151335421, 92 
1689174989164521995, 92 
1689174999175936136, 92 
1689175009179510985, 92 
1689175019191266519, 92 
1689175029200997822, 92 
1689175039211039578, 92 
1689175049223056617, 92 
1689175059231104788, 91 
1689175069240973291, 91 
1689175079250991777, 91 
1689175089261041167, 91 
1689175099271059471, 91 
1689175109281027208, 91 
1689175119292539816, 91 
1689175129300957375, 90 
1689175139311032450, 90 
1689175149321015904, 90 
1689175159331041578, 90 
1689175169341006611, 90 
1689175179352934095, 90 
1689175189365064293, 90 
1689175199370956946, 90 
1689175209383986129, 89 
1689175219396187985, 89 
1689175229405383796, 89 
1689175239417528966, 89 
1689175249429559757, 89 
1689175259441708311, 89 
1689175269453782042, 89 
1689175279465824150, 88 
1689175289477887159, 88 
1689175299489990944, 88 
1689175309501008164, 88 
1689175319511018807, 88 
1689175329522294182, 88 
1689175339532074904, 87 
1689175349541000444, 87 
1689175359551052703, 87 
1689175369561047177, 87 
1689175379570941121, 87 
1689175389580991213, 87 
1689175399590983882, 86 
1689175409601035714, 86 
1689175419611002100, 86 
1689175429620974996, 86 
1689175439633052166, 86 
1689175449645174715, 86 
1689175459651058233, 86 
1689175469663247384, 85 
1689175479673248313, 85 
1689175489681001483, 85 
1689175499691010139, 85 
1689175509701036297, 85 
1689175519713257428, 85 
1689175529721332109, 84 
1689175539731038295, 84 
1689175549741082682, 84 
1689175559745674200, 84 
1689175569751036736, 84 
1689175579762256440, 84 
1689175589771051964, 83 
1689175599781185277, 83 
1689175609791022787, 83 
1689175619801040471, 83 
1689175629808239732, 83 
1689175639820414343, 83 
1689175649832536445, 83 
1689175659844544011, 82 
1689175669855226008, 82 
1689175679863204936, 82 
1689175689874334298, 82 
1689175699886653756, 82 
1689175709898617718, 82 
1689175719907650771, 81 
1689175729913368937, 81 
