run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-1-20230420-16:34:44-14298,runattr,,,configname,General,,
General-1-20230420-16:34:44-14298,runattr,,,datetime,20230420-16:34:44,,
General-1-20230420-16:34:44-14298,runattr,,,datetimef,20230420-163444,,
General-1-20230420-16:34:44-14298,runattr,,,experiment,General,,
General-1-20230420-16:34:44-14298,runattr,,,inifile,n10-gw1.ini,,
General-1-20230420-16:34:44-14298,runattr,,,iterationvars,"$0=""avg""",,
General-1-20230420-16:34:44-14298,runattr,,,iterationvarsd,avg,,
General-1-20230420-16:34:44-14298,runattr,,,iterationvarsf,avg-,,
General-1-20230420-16:34:44-14298,runattr,,,measurement,"$0=""avg""",,
General-1-20230420-16:34:44-14298,runattr,,,network,flora.simulations.LoRaNetworkTest,,
General-1-20230420-16:34:44-14298,runattr,,,processid,14298,,
General-1-20230420-16:34:44-14298,runattr,,,repetition,1,,
General-1-20230420-16:34:44-14298,runattr,,,replication,#1,,
General-1-20230420-16:34:44-14298,runattr,,,resultdir,results,,
General-1-20230420-16:34:44-14298,runattr,,,runnumber,1,,
General-1-20230420-16:34:44-14298,runattr,,,seedset,1,,
General-1-20230420-16:34:44-14298,config,,,image-path,../../../../../Downloads/omnetpp-6.0.1/samples/inet4.4/images,,
General-1-20230420-16:34:44-14298,config,,,network,flora.simulations.LoRaNetworkTest,,
General-1-20230420-16:34:44-14298,config,,,output-vector-file,../results/n10-gw1-s1.ini.vec,,
General-1-20230420-16:34:44-14298,config,,,record-eventlog,true,,
General-1-20230420-16:34:44-14298,config,,,**.maxTransmissionDuration,4s,,
General-1-20230420-16:34:44-14298,config,,,**.energyDetection,-110dBm,,
General-1-20230420-16:34:44-14298,config,,,**.vector-recording,true,,
General-1-20230420-16:34:44-14298,config,,,rng-class,cMersenneTwister,,
General-1-20230420-16:34:44-14298,config,,,**.loRaGW[*].numUdpApps,1,,
General-1-20230420-16:34:44-14298,config,,,**.loRaGW[0].packetForwarder.localPort,2000,,
General-1-20230420-16:34:44-14298,config,,,**.loRaGW[0].packetForwarder.destPort,1000,,
General-1-20230420-16:34:44-14298,config,,,**.loRaGW[0].packetForwarder.destAddresses,"""networkServer""",,
General-1-20230420-16:34:44-14298,config,,,**.loRaGW[0].packetForwarder.indexNumber,0,,
