"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230420-16:34:44-14298)",
206.37142362417,-125.1993165168499895
207.57142362417,-125.1993165168499895
583.39061628207,-123.4975836776199851
3207.67766641503,-125.9531115659399911
3462.62146789937,-124.6107467580799831
4524.33500831792,-128.7963147140699785
5300.57763911053,-119.2469723649099928
9460.00201701093,-128.8642159318200125
9974.63040715226,-127.1097253711999992
11176.51767512341,-129.579521221709967
12306.80264503925,-120.0431766111099982
12640.51963278743,-126.2036251590199918
12875.4626659102,-124.7192012271599987
13209.25045057287,-121.8305821742299878
13857.33043521763,-125.4350922275299917
14240.86335432418,-125.6943909757199828
16004.56813021922,-124.5455044432700045
17102.96696140591,-124.4725201919000025
17869.80827344516,-126.2097788435799823
18154.73172064251,-124.2101628856700012
19284.17900825756,-122.514389854200004
19794.59636424377,-120.0927281470600001
21197.73185767431,-124.437643709769986
21484.20144398427,-124.91612492375998
22101.19160422803,-127.2005110626699883
22687.60883069724,-123.1239414288699828
23445.06990273164,-127.2391450439999966
23790.69245558267,-126.2045819195099903
24647.42226919989,-128.4147302872700035
27015.45368159838,-124.9213272447499885
28138.98564776688,-125.7961754095099986
29664.91443786231,-127.052710426779981
32074.84766139851,-122.9826182786
32508.20397773689,-119.3285826108299826
35218.46352758958,-118.6249719711999825
35426.21487627919,-119.5287545768499907
35935.82688722994,-120.520065444929997
37291.533005685,-119.1645667904099918
37333.05085641998,-122.8295401716299858
38740.91211268183,-127.8588391020300031
39107.11263050933,-127.9523268733699975
43365.57264043169,-122.4522484290099833
44421.96194112545,-126.5978664753899917
44559.46384579612,-118.7906519750000025
44761.51587975798,-123.0499196444899888
51181.19544077673,-118.0764979161199898
52721.51434438589,-116.0934435366299903
53451.00906413404,-124.160481719699987
55048.88707945882,-125.9535749721199801
55776.42005364374,-123.0356253407800006
56149.26618409737,-123.031591179439999
56684.34395728761,-122.6086428121199953
56784.60039355387,-123.4247466640800036
58161.39989283725,-123.906515152989982
58610.16866008056,-117.0843557286299865
59352.70739447037,-124.6243079736599947
59989.84727301671,-125.4432054230499882
61746.4375331794,-118.8262480126300028
66013.67274584408,-125.2212836869599921
66640.79242273259,-126.6358449202899972
66676.56156645545,-124.0532610458599828
66825.54087160038,-124.1267023073199875
67128.38609916776,-120.1748640206400006
67196.81069764532,-126.4535658524199841
69229.95673039611,-123.6139635862299991
69383.29511265738,-118.5507629454799876
70220.54011063595,-125.0748497346899903
71400.78386568987,-116.2780074119399951
72068.67321302355,-126.3432815914499935
72117.52115877748,-124.9770049453599933
72225.87242242399,-123.8787238849299962
74091.94124935209,-123.5820141411699916
77174.57854546556,-124.9338622378699875
79324.16705545252,-123.2285557206199935
80765.21226266894,-122.8852626615799858
82629.94532675335,-125.0983540581700023
83172.9711004062,-121.6759592641400043
83198.70796444212,-118.8249651197599797
83243.65563547958,-120.3712824120100031
83732.42134540343,-120.7422922794399932
86365.38563618615,-122.9508908479199927
