"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",,"Vector of RSSI per node LoRaNetwork_moving.networkServer.app[0] ($0=""avg"", #0 - General-0-20230519-12:58:40-59336)",
5.5400122039,-67.1486854975139803,7.90153562715,-80.3552022686889981,7.98826918813,-66.6646878408169809,9.01512819875,-70.7196966385949961,9.26175466985,-61.29272014821898985,9.79958788327,-69.5440123362610049,12.58883140188,-62.10888204160099215,18.62556555642,-61.18841790269799185,18.81916510048,-66.9518794199879889,19.54497710496,-59.85857777482999585
6.7400122039,-67.1486854975139803,9.10153562715,-80.3552022686889981,9.18826918813,-66.6646878408169809,10.21512819875,-70.7196966385949961,10.46175466985,-61.29272014821898985,10.99958788327,-69.5440123362610049,13.78883140188,-62.10888204160099215,19.82556555642,-61.18841790269799185,20.01916510048,-66.9518794199879889,20.74497710496,-59.85857777482999585
17.12160270559,-72.0630454003639895,16.62827676215,-68.7935377995199813,27.06314581743,-78.04964083030699825,25.38048794017,-74.25093984165698635,15.8174118713,-57.92185746680799215,20.61339727595,-60.908290604480001,19.534155468,-84.40709737146099175,57.44483841114,-57.2820766011749922,28.38014042138,-66.9943760727709898,32.91006364303,-67.10802002951399435
21.14112270521,-74.61955862630000485,20.64779676314,-72.4041718889099851,48.13762186097,-65.15821723845198205,31.82153502404,-66.7324558437649953,19.84508609402,-62.84864198945399475,24.63291727679,-63.2587747013279935,36.73747204129,-61.11762097546500155,89.84446808861,-61.41185156863599535,32.39966042196,-72.7335423972239991,36.92958364425,-66.80803227024600215
28.25280795,-80.51750588635499605,28.56732165543,-70.5489848338789895,86.07785968124,-66.8826359982139988,37.27010630602,-69.07401486240198075,24.01916584089,-57.68922921792099565,36.24282875667,-62.18558856721499225,40.75699204038,-63.6758856266729934,102.1912668524,-57.8517562683219919,37.43879027339,-79.32329460632499235,41.27010727802,-61.8080125150350026
62.9781627395,-71.55908388237997965,46.96464951071,-68.5567787442899995,90.76664123622,-71.098916560731993,41.28962937888,-71.66494424213098535,28.63291798842,-56.29435609620499265,43.913625304,-63.12918060738900275,45.27010891091,-64.0939808252909981,106.21078685346,-69.682108759839991,83.83531554365,-66.9159430472519998,48.72889866118,-66.86724839963898125
66.99768273911,-74.25898256683598185,50.9841695117,-66.1249402032519809,113.47374230393,-68.31064541901898205,47.91362682049,-76.59279226588799325,35.82153574885,-60.87830707470499175,63.85401732094,-75.08802188872797925,52.3762310071,-67.3150177175130009,111.34289136993,-71.50709912063999215,97.23807516529,-65.88560782769499705,77.09530060363,-67.37116750736598165
90.90120420379,-75.6246521376060056,56.37623301537,-78.97931387626300625,124.3092241839,-66.77769073748598285,57.85762851322,-88.1430064875889908,40.24282946413,-59.1121079978319981,67.87353732178,-69.312099830748991,66.38298797353,-61.961121150810001,115.36241212962,-62.49176701853399125,101.25759516584,-76.54235920193198665,81.11482367732,-69.46364257352598755
94.92072420338,-76.08760536893097965,61.44484029128,-71.5871873897469866,139.51798325609,-73.6492438337489826,61.87714851361,-70.0964629672729981,44.75699254688,-56.6228631873339905,87.82363086404,-62.4743185804610019,70.40250991637,-61.2402405090710003,134.12229611557,-63.919822302135003,106.79995949947,-66.6330894792660045,92.87623122274,-63.94706070971099605
99.71049663368,-80.75159097789298785,65.87714915145,-65.8112649186659836,154.75468605537,-76.79341077294199605,65.99040263913,-70.5232455547530035,61.99039997761,-61.3312517292829963,106.09889354602,-65.20597900746699315,78.38299186248,-74.1563395571249938,138.14181611665,-57.29660353802299225,111.86259917098,-72.55596071455900605,100.05988957707,-66.3466967856519998
