"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230502-15:22:53-48944)",
552.77062149817,-66.1810222351989805,788.92327455628,-79.23681244951100635,797.59663721565,-68.3776228829549948,900.28252037061,-66.29590067582498105,924.9452660335,-69.9747537940930041,978.72855808074,-64.5431020261659964,1257.6528923248,-61.62916792418199885,1861.32634406728,-72.2392699241459863,1880.68618633689,-67.7124137688549863,1953.26747061076,-77.49295613925099215
553.97062149817,-66.1810222351989805,790.12327455628,-79.23681244951100635,798.79663721565,-68.3776228829549948,901.48252037061,-66.29590067582498105,926.1452660335,-69.9747537940930041,979.92855808074,-64.5431020261659964,1258.8528923248,-61.62916792418199885,1862.52634406728,-72.2392699241459863,1881.88618633689,-67.7124137688549863,1954.46747061076,-77.49295613925099215
1592.12992216204,-69.1469928925500026,1542.79738536509,-68.505878535866003,2586.28430065431,-70.47418611557199565,2418.01849686479,-65.82043998304399655,1461.71098626137,-81.89052028466898005,1941.30949714649,-65.8435587709020068,1833.38529906603,-62.9397986430919898,2575.1099374005,-71.20160194027900485,2327.30564825667,-70.839901187860988,2279.80788613979,-66.52605146450198935
2568.99399623274,-69.13882748939599275,2600.62379871732,-71.50553151473698655,3230.38901148093,-75.29816916745699,3436.67722688362,-63.2156562681229983,2850.75367354838,-69.3094330293379809,2774.15301571666,-70.3829534006229946,2919.65467994431,-63.1297252246899914,3462.97134783723,-82.8869287312249978,3543.81430169326,-66.95351274112499565,2787.00800689237,-78.75816251843500005
4025.81255479693,-77.9606944278550028,4708.07140366769,-67.0505895556379981,7011.32996860391,-69.1216596525069915,3624.19617808636,-67.12982833652199565,4690.48645862585,-74.6753014965459838,6246.68849499912,-61.9241796821539905,4921.64117547027,-73.3514494724059885,4993.80257410458,-70.9711242185310024,4680.41079695048,-63.3897743887849996,3088.57392261971,-63.3016286912720003
4634.64546853411,-71.80495021390800015,5831.53190571966,-65.9924983068110006,10045.27253849745,-69.3172842864569814,3875.79479119925,-65.85584404266199925,6001.45882678624,-73.21986495643898225,8161.53075013777,-69.947246171388002,5150.88550067724,-64.76160745161598675,7334.29453726597,-70.29142093942098735,6803.15745089242,-70.5098507237999851,3633.43104826036,-63.25883869592699655
6800.40914690474,-68.6489728054209818,6352.61072430039,-74.97784119234700005,14771.66773786262,-74.3490921149590063,5237.72651300086,-78.18650509258398505,6763.88251350512,-64.6062835110570004,10435.23791932942,-59.53570235534399985,5426.41343771555,-64.3867107511019864,8102.757112153,-72.72957015582198855,8394.71357618961,-64.42828492379697965,4203.32861607082,-69.0323756668410053
7441.38269216861,-84.3836662865959963,6584.03169875956,-75.9993128398429858,15010.47629480852,-75.2549483341099969,5568.63639668099,-60.3587721613129984,9177.89894150908,-80.83915129344700265,10627.33349297405,-67.59491838764998285,6421.87708108222,-68.63645362403499885,8441.10323085167,-69.45212893915498825,8838.0479721909,-63.0225961267619963,5241.178689056,-65.75066815245898485
7706.31763231004,-62.9859994058519985,8114.88011519888,-73.177601227321986,16263.55439131135,-73.2376941496909805,5995.17220871749,-64.64846677873700265,9583.62528787999,-68.9312061059189885,11077.04686092021,-72.328007186858002,8647.96107052409,-60.7981880739669973,8909.89892249077,-70.97250285666200375,9320.62318735164,-71.48860032845300315,5653.90855578284,-73.51024115556100435
8669.91032609523,-69.1808033100419945,9456.89985888548,-64.1699441107350024,18273.06300550791,-81.35542153252100635,6505.16304006287,-68.12574394452698785,10757.6954246744,-70.699669665767004,12275.19824876461,-61.31312910522998975,9381.18640669867,-69.08320542324199185,11180.60903239145,-64.98537262893600515,10038.98902256289,-68.1880602295470053,6113.69987355863,-66.0505324904179926
