"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #1 - General-1-20230421-12:38:45-71481)",
206.37142362417,-125.1993165168499895,424.06456430358,-113.3735885854100043,490.9652408199,-119.2311965598499903,505.54061543793,-118.5974494847600052,543.4891577292,-121.1278601693799993,756.48164780157,-122.2856402761599947,774.04785331748,-116.0784441214200053,1108.04312498055,-122.844156319079985,1872.91175245007,-117.5278245371399913,2741.95280284376,-120.7901138494000005
207.57142362417,-125.1993165168499895,425.26456430358,-113.3735885854100043,492.1652408199,-119.2311965598499903,506.74061543793,-118.5974494847600052,544.6891577292,-121.1278601693799993,757.68164780157,-122.2856402761599947,775.24785331748,-116.0784441214200053,1109.24312498055,-122.844156319079985,1874.11175245007,-117.5278245371399913,2743.15280284376,-120.7901138494000005
583.39061628207,-123.4975836776199851,2048.58592348216,-115.6126060198199918,1022.83288938517,-120.2391171182999863,1183.17456647944,-115.8063984471399972,1312.33665458931,-118.629936934249997,4105.52925205983,-114.9670215237599957,2256.90462882179,-121.9136883246799806,1650.40174129285,-124.6843979607199907,3526.13750728536,-120.158705365520006,3037.12494866103,-125.942892048989989
3207.67766641503,-125.9531115659399911,2687.40293430051,-119.6406259857599816,1095.49121231756,-119.4319698031799813,1349.62885509667,-113.7276929041899786,1389.18421741761,-122.6756831568099806,5962.40617256406,-120.777619999619986,2818.96722671427,-118.5880189759699868,3732.5005382898,-121.0973197890099863,7817.37270966382,-120.3967959127299986,3511.81823981178,-127.4015695847599825
3462.62146789937,-124.6107467580799831,4375.34338219317,-112.3301939161599985,1600.19111958873,-111.4777056455399981,2774.03554869621,-121.2646006614199901,3871.41887584453,-124.1162775345199798,7765.86340997607,-111.3737667106099988,3365.54914985128,-118.470348550940002,5101.49417377635,-126.4701016704100021,10779.65425029503,-122.099555762299985,5526.28338980186,-128.7394231098099903
4524.33500831792,-128.7963147140699785,4877.62309033183,-122.395596859809984,4274.02728088988,-117.6156106666699937,5081.92013292395,-107.9745057722599876,4156.08270723374,-124.4971519021299851,8487.77030556689,-122.3976918101899962,3650.61273245206,-120.3753245658400028,5199.74347674232,-123.067889813799979,11441.74001684001,-120.5206393231499926,5665.93148897793,-122.3429804406599993
5300.57763911053,-119.2469723649099928,5811.80840061665,-123.0250627617799917,4833.98848383963,-112.2595787635499955,5769.58255768859,-114.5109053364499796,4406.38259870921,-123.570816092379999,8686.79276173922,-123.9658370987600047,5966.36853672821,-123.9372163645099926,5847.69234015018,-115.7953311171799833,12549.60423935934,-115.05929386680998,5882.89106198407,-122.3401690924000032
9460.00201701093,-128.8642159318200125,6075.38640099775,-119.2031525868199816,5558.04169177406,-114.3310707701099883,7134.01035633094,-113.0556630996800035,4540.64726206694,-120.1187352872699985,9030.90966974167,-121.251409934269986,6045.61610470739,-118.2555990567200008,5982.60766594072,-125.4491362535399895,13668.66733732111,-122.8365585974899825,6119.5409050631,-125.4832841197499813
9974.63040715226,-127.1097253711999992,7566.58204211495,-120.9768205171099845,6220.52086790403,-121.0118635653699921,8284.33150524448,-114.3004619001899863,6215.21363893555,-118.0429857494499965,10520.24400680868,-119.5540778083299922,6065.58934766105,-113.705058225049981,7529.61691982864,-123.22295298985,14009.95654926843,-119.5918713238199867,7071.12488820626,-119.9612522512699962
11176.51767512341,-129.579521221709967,7770.3942021183,-119.0951966556600036,6923.11373750891,-120.2046619957999947,8716.12494119194,-114.3878372497399876,7201.00344912214,-122.1040355064099852,11788.80831309859,-124.8778092252100005,7370.67567875182,-119.967770332509985,8096.90445766015,-123.3672719090999972,17385.74232314024,-118.7497334087699977,9045.9299856003,-128.0689481892999875
