"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-13:30:56-93784)",
58.53445073199,-122.6578548142699951,318.61293051728,-120.4036324397399931,353.24722217094,-120.1997157557999852,483.69019049424,-117.9798631348099883,485.27794281296,-118.8925676738199962,575.77598403928,-121.1189833833599887,649.53443383004,-118.8723042572499928,1569.04589672638,-122.199582373509997,3315.00036539856,-108.8106445473700031,4220.78447502264,-119.2506933285600036
59.73445073199,-122.6578548142699951,319.81293051728,-120.4036324397399931,354.44722217094,-120.1997157557999852,484.89019049424,-117.9798631348099883,486.47794281296,-118.8925676738199962,576.97598403928,-121.1189833833599887,650.73443383004,-118.8723042572499928,1570.24589672638,-122.199582373509997,3316.20036539856,-108.8106445473700031,4221.98447502264,-119.2506933285600036
1731.94564855294,-118.8509571259999968,1933.81500540985,-126.1734796218800052,598.49571290746,-116.6070737271199955,3985.10387244485,-117.3175659452799943,1494.4971907371,-120.4238766279399893,1663.24536742156,-120.2104172629099987,3191.03894178876,-111.384144672709993,2709.85386276329,-119.4427488920999843,3441.23295532204,-114.0804093919799976,7222.68219831667,-121.6362211079599826
3942.36161722255,-121.7851403777199828,6071.62476592024,-126.912046930669987,4490.06583825677,-120.5293094427699993,4553.27435618719,-118.7827392315899992,1956.22808427758,-115.7351645029199852,2741.080249054,-125.0920844632099995,3483.99039777136,-121.7760981128499788,3003.36151468655,-122.9967951880900043,4890.78772924565,-113.6260848167599985,8705.85560635175,-122.2736070038999966
6826.43967465252,-121.9159731133399868,7460.30203978741,-116.5601412618700005,5903.84916779619,-115.9612257780999863,5410.709458801,-115.449073619290004,2138.7666886642,-124.4025701797699805,3510.20005015044,-125.9843557766400007,6136.54891329181,-122.4048753404399856,4781.50485152057,-125.4206366264799891,5349.81565923708,-120.3111330380600062,8862.14824885272,-115.3907897994500041
9122.05330996481,-120.2111168827200056,8096.3525084077,-125.8425631967500063,8174.55927268887,-117.4379235275499975,8088.29078555319,-118.4830975677599833,2155.53445215236,-116.658510693959982,3773.77716548962,-118.2876215765599847,7110.42750727572,-123.0375396219500026,5420.81048589919,-116.9512342855499862,6544.30560274504,-117.0091301458499793,9966.59505383794,-118.0396724460999843
10595.53108411421,-126.3545240985299922,8916.61150101721,-120.1406474330299825,9455.35559826109,-122.836463784919999,8555.44400950952,-117.4008412780799797,4231.56551259517,-123.5235483950099813,3934.1112599762,-123.7326761420199825,10633.57884600111,-118.9221632929499883,6231.30363558535,-118.3752383288599782,8315.65892206526,-104.9947921677099881,10580.87533495875,-121.298553311489996
10748.46932336388,-124.5752229450299916,9564.68186070046,-125.7845371511299953,9648.17858706141,-121.944651591280006,8592.69010431666,-116.6930473833500055,4876.47400376112,-122.992484998529988,5192.55178052814,-127.5737948482899918,12896.08965229507,-120.6247511854899977,6697.6006620229,-126.3162508780000047,10619.26579619108,-106.3064679622799812,11465.8416470827,-116.1959759434400036
11480.33636037447,-124.9987331021499977,9942.39556623872,-122.4291578214800035,11982.76680662289,-116.0759839588599785,8846.89476702704,-121.7890827774199916,6350.89622854478,-126.6719730290299987,6921.67141570683,-117.9010364668799862,14357.94696889773,-122.5243021743099798,10673.79811582808,-121.7986413859800047,10632.86657217907,-113.6170377097400031,11943.70633897318,-119.461076407169997
12059.53516989112,-123.0128675022199896,10119.55997965903,-125.3340985706499845,13107.08440473402,-117.106632119259984,9935.51094008061,-114.3029206835999782,7211.61093605869,-122.0536949251300025,7319.15049813407,-129.2081754542300015,15605.84485248551,-118.5581375098300038,11785.84700218463,-126.90325428430998,11380.2852477011,-114.8180450075699919,12505.8196008776,-120.3491549785800028
13924.85992443947,-125.3848348018100006,10833.33855728355,-122.8167212499400018,13575.58935754499,-110.691367036929989,10193.45616686499,-121.4434806344600016,8888.54566905031,-122.486456142589986,7479.09470898338,-121.4421946061199828,16145.29965668966,-118.4012291757899785,12327.85970543722,-124.1044626409799883,13728.28365282184,-115.8385288187099883,14231.25162558574,-118.1759830147499878
14604.90720606032,-126.290033347969995,11155.50892410466,-126.4755202507599843,15654.54591576979,-121.076289421050006,10224.59710031461,-113.6041749386799888,10040.95668842739,-120.8815443406400046,7901.78449955442,-123.0097598234499966,19053.58841988627,-117.9929542465699792,13914.83443271268,-125.513527945790002,13792.42844282714,-116.1544272497699803,14341.05317968818,-122.0928419316099957
14681.60066559455,-122.5689138511299913,14518.9011112797,-127.0509618191299803,17278.97246555434,-116.6079314350699856,11112.88120497642,-116.5673357851100032,18601.97495024317,-117.6026298221399878,8018.85453637841,-124.090722052100005,19673.21275497251,-120.087380472589984,14295.42322659271,-124.7981954532799872,14825.88008756527,-114.535429661329999,14559.77027787853,-119.2237822401099828
15337.53385408922,-120.4981040500800016,14955.57678583267,-123.4579959654099921,17934.32572681688,-121.2741434834100001,12580.96611530503,-120.2940531519699896,19837.21060992949,-118.9388904361499892,8127.88639999999,-129.4790247772600078,21574.52818570371,-121.1318874447399875,15043.20407170037,-125.8266051299600005,14896.94313741105,-110.0074591227899812,15151.79388256628,-117.3269160638799913
15381.23827082918,-126.8257625596199882,21475.74247185911,-124.5359174852700046,22020.86488391818,-113.1725027448999863,14591.88738739773,-115.9526026923300032,22799.44534258103,-123.35964541733,8157.26634728249,-123.5288614618999922,22014.42649551794,-120.5944257752200026,15201.71192652228,-123.8484929559499786,16244.95951309492,-118.2893701282699791,16305.38585609112,-121.9469305250499926
15982.36617194906,-126.020797398969989,23091.56783832148,-124.8841964909399843,23279.84915822427,-117.289209941920006,14812.51261510409,-119.8320742323099917,23419.06813266514,-121.8105043416699966,8459.59448783538,-117.8964041858299931,22499.50920646235,-120.5775050500799917,15627.28965874054,-120.233835107409987,17895.47643726926,-113.8230976983400064,16693.54795924932,-119.7189693726299987
16963.02092772128,-122.6547713883599892,23200.32662099923,-125.3698443117699805,23919.32069703585,-113.8370039716400011,16649.10779288561,-122.0156176024800057,23853.56118099694,-120.7189466905199988,8675.29432660726,-126.7971008430500028,22795.0074494226,-112.543569882579987,16836.52245855681,-114.5785577048799831,19046.22922562133,-111.9047788392499851,17003.2989594206,-108.6597935884099964
18159.45024304004,-122.9345912766799808,23464.56532489001,-119.7546138652599833,24067.79627306192,-115.3134146358100047,16845.36717730995,-120.2200373938599962,24162.89884798257,-125.414180414509985,9142.16650406973,-127.0520365436999833,23247.81897045563,-122.1165155532600006,16865.29538955006,-126.650225713029982,19407.0625357384,-119.7686105088299935,17391.05469948307,-115.0934479802899941
18221.72942666498,-120.0363015411699901,23627.01530618839,-126.9437690749799965,24584.44749925011,-115.8949956689599785,17777.43650120404,-123.8744573945699863,24248.36686923877,-122.4270265572999957,10130.31515723541,-122.1609181959200038,23975.01677715082,-119.3594255989399922,17525.97664890651,-121.7951164635200025,19493.89003977285,-112.6368662612499914,17606.96721916568,-120.91210680960998
21797.13740136389,-113.4933469302399938,24887.75011387913,-122.4471920471499966,26044.9489742151,-116.3122262443699806,20340.27393785714,-112.8713764513499878,24755.41591569227,-123.9374781457800048,10853.76115730079,-125.0819441314299918,28375.98131537512,-122.3752560025299937,20292.55175622246,-121.2056014089099841,19994.15454970325,-112.7144631193799848,18424.34071479763,-121.1860304712400016
23427.85095851338,-117.5103275652699887,27556.41783993333,-124.3949349809199981,26404.81195632188,-116.0852777240500015,20567.67132760098,-114.6606370685099985,24877.75073524357,-118.4702336510799792,11369.84588549697,-121.3369064838200012,28446.7263023308,-118.2101253331200036,21060.17031470597,-119.5040749092999868,23672.02437275421,-117.6184439076799883,19042.01507921939,-118.4543596247199838
24914.42495769062,-122.7563264991199782,27926.10506466444,-126.4345436147299888,29768.23604441591,-116.243747504970002,22449.83266945899,-115.6965358975799911,25905.92601337594,-122.9958473419999901,11535.05443501821,-123.1581814226599926,30319.56138234328,-117.6757312308699847,21079.58971718014,-119.51350646634998,23758.57997557717,-117.914213950339984,19577.19977736766,-119.5703862309199786
25513.89092342561,-124.5814726134699976,28328.97675216896,-124.5096008108999962,30128.06922558378,-113.9260825240899914,23343.35112920694,-114.7870343870799838,28236.15354792903,-122.9284598628399858,11721.16656620962,-124.6495414745099875,30519.0365065609,-123.6770107426099795,24503.05111443693,-122.0331271163200025,24197.61626988731,-112.6030484027500046,20307.90825066288,-116.4814228685899872
26632.9081443899,-121.1673934517500011,28808.94576772155,-126.3778086636899895,31312.20064206614,-114.9644274022899986,25520.91914912447,-120.2999960987899892,29494.03594048277,-121.6792315950099801,13137.53489080131,-124.4438322188100012,33868.08028568685,-117.6064830797199926,26080.0295295639,-120.3048313740000021,27297.49362943776,-107.7122370263199965,20711.74804970211,-118.2871810571400028
28516.40057884837,-125.3297022313300028,29980.04511051104,-123.3884792157099918,31851.12437349715,-114.9830792396099919,31391.79932187641,-117.694185792279995,29675.65025733958,-121.0235581559499843,14592.4981232764,-126.6574022948499868,34446.60492392939,-118.6750731525699786,26320.65078819491,-123.9290655764299907,30791.57838923501,-119.5845037769499863,21037.38866161687,-117.6573865949700058
29891.16006397366,-117.1383910534899821,33807.21854329976,-121.2920098837199981,33162.97594213199,-116.0243612156599791,34025.78703864448,-114.9656307183099951,30370.31609895441,-122.949595265169989,15404.28851541927,-124.4240144485199831,38044.17986585084,-122.1051229418099803,26427.47700710363,-120.1282531405599907,31694.57705284382,-112.8572650939100011,21121.27820757923,-115.3769860342199816
30690.95506983996,-121.6022897555599792,34516.38504916818,-128.6838195663800087,33732.91774589324,-118.6718613199799956,34353.33304076137,-115.8119707677699917,32583.85968700696,-116.6733172098300026,16518.0850767358,-126.3571180551099923,38397.31647474323,-109.0297656817199931,29821.12896195523,-122.5948682230300045,34879.08262834282,-116.34176447147999,22137.30237868335,-116.4503256066400066
32347.4824483013,-122.2720983310099991,37211.79317870717,-124.2863953959100055,36705.11437587334,-123.3569149242200063,34797.11453175852,-113.3360824107199956,33183.97558292541,-119.5504700800100006,16789.85777137632,-122.7423233905099943,41292.10083612511,-116.3674135423599972,29966.43603622557,-125.0575578957,35837.50079219158,-110.0487403436399912,23380.61078053187,-120.4344637400999995
32525.05085028654,-122.6152314047899945,37857.7881107864,-117.8731113404499803,37043.74213564692,-114.7285290702599806,36413.60250315976,-116.6459306231099896,34169.17907321251,-120.5420377355099785,18171.05435294968,-120.100126085400006,41642.06148821937,-119.2066965469599887,31792.96851086698,-124.624738348099981,36450.39591815847,-116.5385086367199956,24861.67368877585,-107.2403914657799926
37534.84144715404,-118.2648207032100055,38430.68387130064,-125.7884508203399882,37247.43219210002,-111.8983066837099894,36629.3147758835,-120.0660403666499857,34379.68740274021,-121.8937032344200016,19204.71808317375,-120.9853863360399937,42776.52618241938,-123.3816834899099883,34562.25932073416,-121.1605116760299833,39186.59000061038,-105.5416622287199853,24870.15570045984,-122.6932579833199947
39874.15911843618,-122.6930149481700023,38936.36531287831,-124.7628051689700038,37901.57838976916,-116.2232335609199931,37293.36763255841,-115.4633767544399913,35013.44744126879,-120.2478443762699947,19268.60526194375,-128.389789884560002,43560.29136724946,-116.6418663484400038,34998.02766253458,-121.8303560396300036,39883.41660133939,-112.8263013355799838,25669.14354621608,-122.2823257877799956
