"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",,"Vector of RSSI per node LoRaNetworkTest.networkServer.app[0] ($0=""avg"", #0 - General-0-20230421-16:55:12-47656)",
60.10680283836,-125.3104179973900041,320.07827444268,-112.8519909847200035,354.881270165,-113.8134715864299831,486.85029738702,-114.8498873512899929,577.24132807591,-122.2230142976499957,651.16848205024,-121.4166363882799823,1570.61825135418,-115.9003702162600001,2225.24655558636,-113.133065483519999,3316.63441104956,-115.0141847523800033,3985.53792301513,-114.715406884269981
61.30680283836,-125.3104179973900041,321.27827444268,-112.8519909847200035,356.081270165,-113.8134715864299831,488.05029738702,-114.8498873512899929,578.44132807591,-122.2230142976499957,652.36848205024,-121.4166363882799823,1571.81825135418,-115.9003702162600001,2226.44655558636,-113.133065483519999,3317.83441104956,-115.0141847523800033,3986.73792301513,-114.715406884269981
1733.51800316331,-115.6199285415599997,1935.28034683125,-114.1579513981899929,600.12976090152,-118.0094419312599991,722.35181365859,-117.0672271087899785,1038.4552858162,-115.5546322525999865,3192.67298750496,-124.85760343039999,5709.62800936057,-125.0993104147700018,6866.09908196011,-112.1582270752300015,4718.51011051402,-121.3651647006599882,5242.63140735546,-109.8969347529200031
1916.05660504593,-120.0451755355999801,2358.93745069198,-116.6562374890399947,932.54000436922,-107.0672686562299984,1184.08271220707,-113.9383082463099863,2116.29016995264,-112.5775590914099945,7348.6440855721,-118.5655705856800063,6427.99384457182,-125.1411620052699898,9249.16735515163,-113.3634331572799848,4923.36237766059,-114.5469545608399921,6338.82396836483,-114.3703903447799912
3852.63384003316,-118.5334180804399858,4419.75869157284,-111.9862647435599848,2072.14796790213,-110.0161524724999817,3291.53031715744,-120.1246297230700005,2686.1877377631,-117.770446924229986,8086.78082812053,-117.4118285509999845,7019.29663264528,-116.3408345070500043,9589.64554418341,-108.3637039582899886,5643.00727534911,-116.7607947603399901,9629.4727961203,-120.9794312299799795
4931.56074853276,-114.6566503187399913,7618.01366834289,-113.7816318691999976,2963.52654481214,-109.1573527390600016,4548.76731272802,-118.2484741167199896,3416.41540300217,-119.6005416294599962,8907.03982073004,-124.117671873899979,7430.99720801399,-121.095903998649987,10911.23565036352,-115.9891620103099962,6347.9565942208,-122.1951589640599986,11697.43511378179,-119.0186991047000045
5457.5915467969,-120.1579629096299863,7934.25077168118,-116.4077318052799792,3155.78798565431,-110.7505887749599931,5540.04681598334,-120.6617859613599813,4178.83908471305,-118.2213558870699895,10066.555786736,-126.8354116152499951,7909.57378158784,-115.9894697161099935,12386.25396743776,-106.7121703813899951,6966.00897136079,-110.3967235876199875,12137.98089394276,-117.9207834666399885
5723.40809331523,-120.6851748779199903,9080.32880924929,-114.9678398271999805,3400.98607579261,-112.9551863084400048,8975.67020846105,-124.5003864765099872,5466.80105978897,-119.8620492109899937,10494.56093719584,-121.277458787409983,9701.22811747451,-121.4553129596899903,13279.28085450433,-115.4209994975799982,7157.96687581589,-117.5757644484399972,12533.84631647699,-121.7218657759599972
7663.45630319373,-118.3005762421900038,11182.02239082474,-121.163199634109986,3821.9793763456,-109.1695417549099995,9742.39559058869,-116.8716798632399896,6063.35097916993,-118.1606634927299803,11148.60449971399,-126.6986449967999982,11017.04234675618,-124.0948084169399972,14866.6901163851,-114.4854681629099951,8172.92583168171,-118.6840989925399862,13043.37675381351,-119.3525018138399782
9089.67047915954,-123.1536096933799906,11441.90434540966,-120.0721521548999813,4117.88124959366,-109.865758127399999,10324.57664372552,-120.9900536735999875,6390.56135799235,-120.532801576460002,13175.49145678937,-120.8652466587499812,11915.69030395645,-123.3189771553099941,15521.42734860907,-116.4498053323100062,8604.02766140187,-121.9214055356599993,17958.74624991294,-113.2428894926499931
