"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230429-20:46:24-82182)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230429-20:46:24-82182)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230429-20:46:24-82182)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230429-20:46:24-82182)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230429-20:46:24-82182)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230429-20:46:24-82182)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230429-20:46:24-82182)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230429-20:46:24-82182)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230429-20:46:24-82182)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230429-20:46:24-82182)",
60.10680283836,-93.7222209263690044,320.07827444268,-46.3229369914149911,354.881270165,-44.9004362510099922,485.32423856052,-56.98783094714299555,577.24132807591,-92.82095772291899,651.16848205024,-61.50446759603899215,878.62110555974,-129.3131452552800051,1570.61824885018,-63.7142667612789919,2225.24655558636,-79.6852243239089828,3316.63441355356,-59.7299326518119924
61.30680283836,-93.7222209263690044,321.27827444268,-46.3229369914149911,356.081270165,-44.9004362510099922,486.52423856052,-56.98783094714299555,578.44132807591,-92.82095772291899,652.36848205024,-61.50446759603899215,879.82110555974,-129.3131452552800051,1571.81824885018,-63.7142667612789919,2226.44655558636,-79.6852243239089828,3317.83441355356,-59.7299326518119924
1733.51800316331,-97.6428646200340036,780.52641169789,-51.0621327366429936,1091.0456913548,-48.69948024562599175,1022.08995878839,-51.50380348514099165,1527.93591157265,-113.8670356053399923,1095.77250816683,-67.0397521733860058,1523.60210966627,-122.4500667658199968,1774.16868741742,-55.76045996962899645,2786.40762566034,-88.12896967915798955,3764.0872315686,-65.34485072662900475
2048.23966401794,-92.6365581940419812,3973.47305375151,-55.5813968751549934,3196.36699465103,-43.69435198234400255,4009.27984813641,-53.7258299963850019,4177.19184024901,-91.09899327891699225,4987.34263101214,-57.04688360627399375,1767.99755524407,-120.6211516658199795,2127.18882069158,-55.272666342066003,5011.32228038169,-90.97832120044199625,5294.91845783595,-58.26924299395399465
3227.62259515858,-105.8093567416199786,4543.37061905797,-50.74081975170899715,5080.29587873308,-52.81379254287600115,5371.21157494602,-48.69559086904099825,5215.04191824219,-105.4619929105799937,6110.80313306411,-55.1120432917399936,2617.2183693125,-127.9499082204199845,3059.59170360216,-70.4430240029419959,5240.56660558866,-82.0745620505309998,5707.64832706679,-56.23556813712499975
3831.92166951019,-93.4614586264719943,6709.1342974286,-59.29197734672000285,7420.78784189447,-41.66593809883899255,6366.67521580869,-49.12363733572999515,5490.5698527765,-91.79147147140898215,6676.69767219496,-59.2017878762430028,3676.22775469371,-122.2950592641599878,9824.98222353925,-59.58644729439099285,5571.47648926879,-85.69261157767098755,6228.72714564752,-54.22209307335700125
4968.51816476741,-95.0183901296759923,7103.19187187956,-46.25714596220399225,7787.49299568855,-52.3836895682709949,6598.09619026786,-48.55275510999699395,5917.105667317,-96.4139126666189834,8207.54609113828,-62.3158024643559966,3863.74670339245,-126.2092313325599941,10832.99576151959,-64.29552653413600155,6031.26780454058,-81.2431117846769834,7125.05635066804,-50.12538608386499535
6279.4905329278,-96.168546783652999,8694.74799216875,-55.37162958492599765,8052.42793332598,-61.52329960036199435,7232.02831675936,-54.8026660126329969,6427.09650116638,-100.1849457024100044,8881.489537861,-59.6186668185069946,4115.34531900934,-133.7766508870699903,11424.29854959305,-54.66142529897000175,6793.69149125946,-79.6238900618780004,10158.99892556958,-46.9413076490439918
8194.33279057045,-96.2510806925880043,9163.54368380785,-47.77004386577600295,8342.70134844923,-52.48007435273500195,8223.30782001468,-57.353813632287,8653.18048810425,-105.8078667000999923,11052.71541671122,-58.5304293571330018,4724.17823274652,-120.4745204841599953,12622.44993493345,-59.84987139064399715,9207.70791926342,-89.07128142794198265,10416.58378940679,-56.48005238837899335
9157.92548435564,-97.5658838958919997,9646.11889896859,-52.76543892007599345,9684.72108712783,-50.4962483850889894,9309.51113367598,-53.3815998979049906,9096.51488660954,-92.1705177001489911,11775.31765424646,-55.1273567037049898,6846.92488418446,-124.4649292646400051,13365.17368463251,-84.86073201651899415,11478.4180266601,-78.4102654557579794,12599.29768119628,-49.42768009487500065
