"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",,"Vector of RSSI per node LoRaNetwork.networkServer.app[0] ($0=""avg"", #0 - General-0-20230428-17:05:59-83469)",
60.10680283836,-57.4333589094919998,320.07827444268,-46.3229369914149911,354.881270165,-44.9004362510099922,485.32423856052,-56.98783094714299555,577.24132807591,-54.43958584086600155,651.16848205024,-61.50446759603899215,878.62110555974,-57.96139338578500125,1570.61824885018,-63.7142667612789919,2225.24655558636,-44.95738084797800107,3316.63441355356,-59.7299326518119924
61.30680283836,-57.4333589094919998,321.27827444268,-46.3229369914149911,356.081270165,-44.9004362510099922,486.52423856052,-56.98783094714299555,578.44132807591,-54.43958584086600155,652.36848205024,-61.50446759603899215,879.82110555974,-57.96139338578500125,1571.81824885018,-63.7142667612789919,2226.44655558636,-44.95738084797800107,3317.83441355356,-59.7299326518119924
1733.51800316331,-61.3540026031579939,780.52641169789,-51.0621327366429936,1091.0456913548,-48.69948024562599175,1022.08995878839,-51.50380348514099165,1527.93591157265,-75.48566372328897925,1095.77250816683,-67.0397521733860058,1523.60210966627,-51.0983148963239982,1774.16868741742,-55.76045996962899645,2786.40762566034,-53.40112620322699375,3764.0872315686,-65.34485072662900475
2048.23966401794,-56.3476961771649909,3973.47305375151,-55.5813968751549934,3196.36699465103,-43.69435198234400255,4009.27984813641,-53.7258299963850019,4177.19184024901,-52.7176213968639898,4987.34263101214,-57.04688360627399375,1767.99755524407,-49.26939979632199125,2127.18882069158,-55.272666342066003,5011.32228038169,-56.2504777245110004,5294.91845783595,-58.26924299395399465
3227.62259515858,-69.5204947247419793,4543.37061905797,-50.74081975170899715,5080.29587873308,-52.81379254287600115,5371.21157494602,-48.69559086904099825,5215.04191824219,-67.0806210285279858,6110.80313306411,-55.1120432917399936,2617.2183693125,-56.5981563509279935,3059.59170360216,-70.4430240029419959,5240.56660558866,-47.3467185745999897,5707.64832706679,-56.23556813712499975
3831.92166951019,-57.1725966095959988,6709.1342974286,-59.29197734672000285,7420.78784189447,-41.66593809883899255,6366.67521580869,-49.12363733572999515,5490.5698527765,-53.4100995893559938,6676.69767219496,-59.2017878762430028,3676.22775469371,-50.9433073946619996,9824.98222353925,-59.58644729439099285,5571.47648926879,-50.9647681017399917,6228.72714564752,-54.22209307335700125
4968.51816476741,-58.72952811279900205,7103.19187187956,-46.25714596220399225,7787.49299568855,-52.3836895682709949,6598.09619026786,-48.55275510999699395,5917.105667317,-58.0325407845659951,8207.54609113828,-62.3158024643559966,3863.74670339245,-54.8574794630619917,10832.99576151959,-64.29552653413600155,6031.26780454058,-46.51526830874600175,7125.05635066804,-50.12538608386499535
6279.4905329278,-59.87968476677599465,8694.74799216875,-55.37162958492599765,8052.42793332598,-61.52329960036199435,7232.02831675936,-54.8026660126329969,6427.09650116638,-61.80357382035400315,8881.489537861,-59.6186668185069946,4115.34531900934,-62.4248990175769903,11424.29854959305,-54.0279121540899891,6793.69149125946,-44.89604658594699045,10158.99892556958,-46.9413076490439918
8194.33279057045,-59.96221867571099985,9163.54368380785,-47.77004386577600295,8342.70134844923,-52.48007435273500195,8223.30782001468,-57.353813632287,8653.18048810425,-67.42649481804198755,11052.71541671122,-58.5304293571330018,4724.17823274652,-49.1227686146609981,12018.76456629147,-53.30432700418799615,9207.70791926342,-54.3434379520099922,10416.58378940679,-56.48005238837899335
9157.92548435564,-61.2770218790149951,9646.11889896859,-52.76543892007599345,9684.72108712783,-50.4962483850889894,9309.51113367598,-53.3815998979049906,9096.51488660954,-53.7891458180969975,11775.31765675046,-58.48141511280599025,6846.92488418446,-53.11317739514299755,13466.91068773709,-57.25631974212099325,11478.4180266601,-45.08041273227199477,12599.29767869228,-49.42768009487500065
10392.60536040912,-55.9395997711239941,10364.48473668384,-50.67867229065599565,10815.17828794618,-50.905291844589996,9595.08005417909,-47.7484749404169973,9829.74022278412,-71.30552990248398235,13143.37167562189,-64.7510269743889919,7487.89842944833,-54.38666883944799205,13864.97169522875,-58.8168407579489949,12216.55476920853,-51.0586412698710033,15796.95643609779,-56.2210453985869945
15119.00055977429,-59.2864536823219905,10945.49339214331,-47.72046818495599025,11007.27386159081,-53.2142637160790029,10000.806398046,-61.66320297837499685,10528.32123136719,-56.2989327115859905,13641.88800753562,-61.93294501162699785,8256.36100683936,-56.82481805585000225,14631.69707735639,-56.3965165831249917,12829.5220378903,-44.84557845481799617,17307.36125478591,-56.38779386676999615
16440.5906659544,-57.45179182930399955,12292.12068067957,-55.37691250662699335,12147.7983390584,-48.8502989752349917,11174.87653484041,-51.6247264134290018,11005.31897980756,-55.01702484650299115,14673.80871045258,-61.44557493713099885,8594.70712804203,-59.6991230656569909,15693.25039365272,-54.0756744597560013,14314.33611193838,-53.76533209982800065,17636.02331245535,-53.34492661033999615
16929.07995234482,-60.96450067739199565,13406.23541464193,-51.9353674087149953,12801.25159628118,-54.78275410268399505,12244.95902196439,-68.39600179351899065,11455.03234775372,-65.891496548936004,14912.61726990248,-54.141316259397996,10868.41429222568,-68.0495132635400066,15898.45321198134,-60.32382067111899435,16995.33120168561,-50.03888195427599305,19272.13305305176,-61.1379338283799993
18242.36630518719,-65.76917389300498925,14345.2540181654,-50.4381237263429936,13109.19039436582,-58.07498861806999435,12725.25083827681,-57.84676695412299775,12653.18373559812,-48.37100077542199,15721.40739618243,-71.32608516255498875,12060.66653430805,-47.8880481274049997,17907.9618261779,-65.2794829764849848,17227.63656833817,-57.46817894040898955,19565.67545890108,-56.77317066089099725
20358.65015322619,-50.43351754658799255,15526.65941926072,-46.88700119326999505,13539.11259710455,-43.48921472993299617,13192.40406223314,-55.12165463781199985,13395.90748780118,-52.407967305065,16163.55756811103,-65.51108441727899375,12542.64574637252,-57.037737848083992,18614.92999273571,-73.015325292374001,18763.50143411793,-48.7094298136199908,21301.34390840577,-53.1545396908449985
20537.24919879467,-63.1197625012369909,15971.37787171181,-48.2617647712259979,14819.90891766877,-44.6030752403389952,13887.67984321978,-50.03426890003399285,13720.72429244746,-49.92075186141299505,16570.7347511534,-59.95800609448399125,13794.15470081917,-53.050044088410999,20641.81694730709,-70.7350856619609939,20296.50783738588,-48.36573991498099175,21480.85260439429,-58.0836932730390029
21150.49972031626,-65.30633648304498685,16660.89079363338,-58.7592474438550024,16072.9870141716,-48.76828136418200165,17593.67048304534,-53.87351197147400205,14238.75334956579,-55.63923947829100295,16985.88114313706,-65.573067612089005,15277.11406770138,-53.18336570100200315,21900.71295245946,-58.8693887108049976,21408.55672374243,-46.2385231740379934,21681.10555680853,-54.15061402205799345
22886.36949863893,-68.9508673690019973,21622.92354103336,-54.88927864736500315,16500.99216212744,-45.59273655044700017,19153.22176476908,-63.379910209581993,14804.37627058804,-67.0440696080499944,18210.26418162293,-61.4663101415190025,16461.80021585234,-54.9162767468279893,22228.06731842334,-50.17233986136800155,21924.64144943461,-47.9892965962440028,22132.44282596013,-47.9291061388230018
26453.49429793185,-58.98056232110299375,22528.2338828188,-45.04905095490499875,17816.39465719029,-49.1454725331520022,19790.85348402328,-51.6375111854769953,14988.35021421847,-52.8072712411590002,19340.80421174995,-63.1387261884350008,19361.29886952865,-59.21963573045699975,24511.93826444448,-57.25950328930500155,22209.15228119082,-44.55372688818098925,22641.97326079265,-62.95039504085899275
27015.8687148835,-72.6056034594599848,23007.23042489263,-60.28182378168099805,19612.05159352543,-52.5521355312249908,22142.90936659073,-52.8543004303650006,15529.82270537805,-60.55561356199599715,20326.1944537965,-54.70624076136100175,20006.2747097207,-62.7960020331589985,26669.21473069009,-62.7564967589939895,23904.26263782579,-56.909054528955991,23733.20417988566,-54.40856163258699475
27721.59511105252,-77.15796077223399125,23919.31992562893,-46.6319248409649985,20832.65546788943,-43.90033431116098925,22564.94475374462,-61.42418453310899885,18832.00665783113,-54.7602526658180008,21872.0006652135,-63.1966448996980003,20211.39168523268,-56.86373959342299125,27080.31728912313,-61.49368951175298975,24249.82437453953,-43.17948002265700305,25346.64308349655,-57.7290825462079906
31821.99679888116,-50.26568526295000065,24305.46235106616,-49.3005766995179895,25017.30577835925,-50.19601385696100215,22770.51456505166,-59.71560627738199375,20338.32932259747,-55.418789664355003,23089.28017211279,-59.6483096206369934,21522.49714638994,-53.96670635092600295,27441.89173879226,-60.59864912304900015,25330.21225261542,-58.8955673688289918,25617.82619554232,-56.0449339708490013
32152.52197257918,-60.0399204367749915,24877.01770703841,-50.4937528875439907,25971.22019922914,-46.37986384789400045,26125.63902798094,-47.6734942684259975,21556.64209625709,-64.81108186138197855,23389.54425396736,-62.2776803476949963,21974.23935257126,-53.9374609347439955,27947.75248869476,-56.94837116317199825,29372.62202264804,-51.8481586854569938,25968.64968310634,-49.10853709184900125
34451.63017199689,-59.92031974003599235,26602.44973174655,-51.1868725065849899,27492.14606559914,-57.7948927036469936,28137.73285265954,-51.55903782484499205,25959.5564896825,-53.58876887722099955,25367.08619043556,-60.0143624751409985,23595.52595776249,-52.2329422600179922,29195.65037228254,-58.9877921149579973,33219.53574821508,-52.3204999356539984,27215.66731931339,-65.4225177251709906
